;solar;wind;cons;market;spot
2019-01-03 16:00:00+01:00;104.00.00;110.436.718;66412.0;66,00638745;68,41
2019-01-03 17:00:00+01:00;00.00;103.830.184;69141.0;66,25991164;69,55
2019-01-03 18:00:00+01:00;00.00;9.819.694;68929.0;65,67894668;67,28
2019-01-03 19:00:00+01:00;00.00;93.416.613;67538.0;65,08783487;69,46
2019-01-03 20:00:00+01:00;00.00;89.287.944;63388.0;66,48633836;68,38
2019-01-03 21:00:00+01:00;00.00;85.586.228;60522.0;61,85387742;61,72
2019-01-03 22:00:00+01:00;00.00;82.144.988;58546.0;57,30207353;53,72
2019-01-03 23:00:00+01:00;00.00;83.464.501;54676.0;52,72912548;49,98
2019-01-04 00:00:00+01:00;00.00;92.537.356;51449.0;51,26892724;50,73
2019-01-04 01:00:00+01:00;00.00;98.727.582;49334.0;50,38396984;47,11
2019-01-04 02:00:00+01:00;00.00;105.691.059;48416.0;49,78596166;47,07
2019-01-04 03:00:00+01:00;00.00;113.078.358;48544.0;47,43146728;46,94
2019-01-04 04:00:00+01:00;00.00;120.481.254;49519.0;48,36613378;47
2019-01-04 05:00:00+01:00;00.00;132.065.601;51776.0;49,66441935;46,91
2019-01-04 06:00:00+01:00;00.00;144.849.873;56904.0;54,60662909;49,59
2019-01-04 07:00:00+01:00;00.00;158.600.051;62243.0;53,90446595;55,32
2019-01-04 08:00:00+01:00;114.00.00;172.879.009;65469.0;53,7366263;55,78
2019-01-04 09:00:00+01:00;1101.00.00;187.179.237;66388.0;53,01585741;55,52
2019-01-04 10:00:00+01:00;2153.00.00;201.097.454;67069.0;52,42826768;55,23
2019-01-04 11:00:00+01:00;2818.00.00;206.581.866;67749.0;54,7388325;53,58
2019-01-04 12:00:00+01:00;2971.00.00;211.948.262;67517.0;51,5033965;51,74
2019-01-04 13:00:00+01:00;2600.00.00;217.461.767;66103.0;48,19880884;51,6
2019-01-04 14:00:00+01:00;1797.00.00;223.446.439;64619.0;49,41890495;51,41
2019-01-04 15:00:00+01:00;784.00.00;230.159.363;64068.0;50,80615556;51,69
2019-01-04 16:00:00+01:00;55.00.00;237.665.649;64704.0;52,78979835;52,59
2019-01-04 17:00:00+01:00;00.00;240.920.907;67329.0;58,05437795;54,66
2019-01-04 18:00:00+01:00;00.00;244.463.889;66879.0;55,50771151;54,1
2019-01-04 19:00:00+01:00;00.00;247.565.127;65111.0;49,06550445;51,89
2019-01-04 20:00:00+01:00;00.00;249.579.444;60767.0;47,65532879;46,58
2019-01-04 21:00:00+01:00;00.00;250.122.846;57825.0;48,37455466;45,43
2019-01-04 22:00:00+01:00;00.00;249.196.112;56111.0;48,35805816;43,96
2019-01-04 23:00:00+01:00;00.00;254.524.996;52530.0;39,44404847;31,41
2019-01-05 00:00:00+01:00;00.00;264.724.203;49121.0;34,82393699;26,9
2019-01-05 01:00:00+01:00;00.00;269.646.443;46874.0;31,43840771;25,12
2019-01-05 02:00:00+01:00;00.00;275.167.733;45495.0;31,25670694;24,12
2019-01-05 03:00:00+01:00;00.00;281.634.036;44935.0;31,2209222;22,04
2019-01-05 04:00:00+01:00;00.00;28.909.248;45087.0;30,36301066;18,37
2019-01-05 05:00:00+01:00;00.00;286.300.568;44947.0;34,5075554;22,09
2019-01-05 06:00:00+01:00;00.00;282.881.888;45370.0;38,21291779;23,35
2019-01-05 07:00:00+01:00;00.00;278.153.993;48037.0;41,29333073;28,76
2019-01-05 08:00:00+01:00;102.00.00;271.739.476;51611.0;45,94155174;36,63
2019-01-05 09:00:00+01:00;707.00.00;263.513.222;54995.0;45,66286445;40,46
2019-01-05 10:00:00+01:00;1299.00.00;253.577.273;57040.0;47,49647493;45,85
2019-01-05 11:00:00+01:00;1670.00.00;238.496.987;58702.0;49,59921086;49,8
2019-01-05 12:00:00+01:00;1748.00.00;22.292.766;58529.0;51,40746563;51,36
2019-01-05 13:00:00+01:00;1528.00.00;20.791.603;57107.0;49,34603598;51,74
2019-01-05 14:00:00+01:00;1058.00.00;194.305.232;55682.0;48,02476103;51,92
2019-01-05 15:00:00+01:00;462.00.00;182.525.848;55655.0;51,45541741;53,22
2019-01-05 16:00:00+01:00;30.00.00;172.544.357;57044.0;56,85264798;56,62
2019-01-05 17:00:00+01:00;00.00;167.125.356;60277.0;57,49236751;56,92
2019-01-05 18:00:00+01:00;00.00;162.235.919;60772.0;55,33729091;61,64
2019-01-05 19:00:00+01:00;00.00;157.408.099;59089.0;51,18918686;59,44
2019-01-05 20:00:00+01:00;00.00;152.239.526;54992.0;47,22418265;52,75
2019-01-05 21:00:00+01:00;00.00;146.494.989;52446.0;43,8340968;51,9
2019-01-05 22:00:00+01:00;00.00;140.150.204;51465.0;42,69684112;51,38
2019-01-05 23:00:00+01:00;00.00;136.960.064;48278.0;39,88894379;49,96
2019-01-06 00:00:00+01:00;00.00;144.175.459;45354.0;41,74363583;50,29
2019-01-06 01:00:00+01:00;00.00;136.902.969;43105.0;38,85115865;47,72
2019-01-06 02:00:00+01:00;00.00;129.835.414;41791.0;41,33760194;48,38
2019-01-06 03:00:00+01:00;00.00;123.411.163;41436.0;41,28065335;48,02
2019-01-06 04:00:00+01:00;00.00;117.794.668;41408.0;38,52756636;44,23
2019-01-06 05:00:00+01:00;00.00;109.188.363;40756.0;42,64754383;47,17
2019-01-06 06:00:00+01:00;00.00;101.258.842;39905.0;43,47546388;48,19
2019-01-06 07:00:00+01:00;00.00;93.978.762;41268.0;43,85359222;49,11
2019-01-06 08:00:00+01:00;181.00.00;87.286.522;43806.0;44,47722916;50,44
2019-01-06 09:00:00+01:00;1132.00.00;81.108.238;47372.0;48,48197779;53,4
2019-01-06 10:00:00+01:00;2064.00.00;75.393.319;49932.0;50,08505678;56,55
2019-01-06 11:00:00+01:00;2643.00.00;73.376.413;52706.0;54,92742387;60,02
2019-01-06 12:00:00+01:00;2762.00.00;71.953.244;53388.0;55,50242293;60,22
2019-01-06 13:00:00+01:00;2410.00.00;71.238.164;51809.0;52,34490843;55
2019-01-06 14:00:00+01:00;1667.00.00;71.318.889;50833.0;48,16680252;52,39
2019-01-06 15:00:00+01:00;729.00.00;7.226.618;50286.0;51,63393859;51,57
2019-01-06 16:00:00+01:00;50.00.00;74.125.527;51611.0;55,85222497;54,71
2019-01-06 17:00:00+01:00;00.00;73.169.929;55530.0;61,30966893;63,43
2019-01-06 18:00:00+01:00;00.00;73.255.102;56912.0;62,27884629;67,37
2019-01-06 19:00:00+01:00;00.00;74.163.234;55816.0;59,59835695;67,2
2019-01-06 20:00:00+01:00;00.00;7.565.688;53598.0;53,74094319;66,03
2019-01-06 21:00:00+01:00;00.00;77.510.366;51914.0;49,39166717;55,36
2019-01-06 22:00:00+01:00;00.00;79.561.863;51814.0;50,97233476;58,59
2019-01-06 23:00:00+01:00;00.00;78.149.368;49043.0;46,57531135;53,7
2019-01-07 00:00:00+01:00;00.00;83.628.597;48118.0;48,75426566;46,03
2019-01-07 01:00:00+01:00;00.00;85.237.021;46387.0;47,5579008;47,98
2019-01-07 02:00:00+01:00;00.00;82.953.946;45896.0;43,50942798;47,84
2019-01-07 03:00:00+01:00;00.00;83.519.859;46334.0;43,38367612;46,11
2019-01-07 04:00:00+01:00;00.00;85.958.593;47893.0;46,62612035;46,08
2019-01-07 05:00:00+01:00;00.00;81.139.675;51588.0;48,19906754;47,62
2019-01-07 06:00:00+01:00;00.00;7872.74;59799.0;53,34415716;55,77
2019-01-07 07:00:00+01:00;00.00;76.547.727;66575.0;69,86537541;68,61
2019-01-07 08:00:00+01:00;117.00.00;75.834.476;69603.0;73,60702088;74,15
2019-01-07 09:00:00+01:00;987.00.00;74.820.241;70147.0;73,1942759;74,93
2019-01-07 10:00:00+01:00;1884.00.00;74.103.751;70994.0;70,79339865;73,59
2019-01-07 11:00:00+01:00;2458.00.00;91.750.525;71896.0;71,18862298;71,23
2019-01-07 12:00:00+01:00;2601.00.00;110.313.435;71861.0;68,46442242;68,79
2019-01-07 13:00:00+01:00;2298.00.00;130.544.305;71474.0;67,02699626;66,75
2019-01-07 14:00:00+01:00;1620.00.00;143.893.942;70479.0;66,97511244;62,47
2019-01-07 15:00:00+01:00;743.00.00;157.937.633;69914.0;67,15818781;53,25
2019-01-07 16:00:00+01:00;63.00.00;171.702.524;69922.0;63,67545659;53,26
2019-01-07 17:00:00+01:00;00.00;201.246.171;72581.0;65,68151859;53,42
2019-01-07 18:00:00+01:00;00.00;23.602.203;72059.0;54,64393114;47,91
2019-01-07 19:00:00+01:00;00.00;271.337.056;70542.0;50,73599169;42,05
2019-01-07 20:00:00+01:00;00.00;304.137.425;66394.0;47,29947139;40,96
2019-01-07 21:00:00+01:00;00.00;328.761.203;62940.0;38,70999942;32,04
2019-01-07 22:00:00+01:00;00.00;348.386.268;60352.0;29,35304801;20,82
2019-01-07 23:00:00+01:00;00.00;356.778.804;56065.0;19,87259723;1,84
2019-01-08 00:00:00+01:00;00.00;343.181.273;52810.0;12,06212442;17,94
2019-01-08 01:00:00+01:00;00.00;345.503.348;50723.0;10,51992779;20,91
2019-01-08 02:00:00+01:00;00.00;346.732.638;49879.0;6,00297403;7,78
2019-01-08 03:00:00+01:00;00.00;350.455.314;50194.0;10,75729337;14,33
2019-01-08 04:00:00+01:00;00.00;353.092.349;51422.0;15,45827053;18,56
2019-01-08 05:00:00+01:00;00.00;368.218.323;54513.0;19,71933473;18,57
2019-01-08 06:00:00+01:00;00.00;384.294.347;61824.0;41,41487259;35,81
2019-01-08 07:00:00+01:00;00.00;396.837.893;68176.0;48,88747925;43,87
2019-01-08 08:00:00+01:00;159.00.00;413.479.388;70781.0;51,76793307;46,93
